GeneID	adipose.tissue	adrenal.gland	appendix	urinary.bladder	bone.marrow	colon	duodenum	endometrium	esophagus	fallopian.tube	gall.bladder	heart	kidney	liver	lung	lymph.node	ovary	pancreas	placenta	prostate	rectum	salivary.gland	small.intestine	smooth.muscle	spleen	stomach	testis	thyroid	tonsil
ENSG00000111252	0	0.025632719	0	0	0	0	0	0.019018706	0.014442735	0	0.02749243	0.036839001	0	0.239243673	0	0.343240822	0	0	0.090704043	58.87045755	11.59460378	0	0	0	0	0.006268128	0.061034786	0.038401192	0.081359176
ENSG00000111254	0.150592112	0	0	0	0	0	0	0	0	0.07532493	0	0.030757049	0	0.058661761	0	0	0	0	0	0.024124072	0	0.01097312	0	0	0	0.211152615	2.469076014	0	0.066656865
ENSG00000111262	0	0	0	0	0.113652857	0	0	0.035055659	0	0	0	0.017044042	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003772934
ENSG00000111271	0.356605574	0.38473398	0.450749103	0.113300642	10.81216022	0.467383096	2.574752952	0.252277491	1.413960168	0.992748455	0.291187003	1.024941472	8.0418749	3.975800527	0.729720089	8.797759906	0.927581362	1.362366981	0.13454104	0.465263752	0.308364633	0.926299058	5.690053397	2.228157728	0.117848748	0.622105225	1.699283027	2.068267132	0.702498274
ENSG00000111275	233.332123	339.4766083	108.6587892	62.41861293	47.3225055	190.0356997	265.135772	153.7207637	187.5742391	158.2190685	88.46374686	237.8779884	787.3761308	1585.924378	259.5657797	79.77719235	144.9792754	104.7640826	13.53108897	54.73628115	203.5741499	230.3140102	325.1019371	168.8663227	88.48100865	265.5352019	224.7795521	419.0141251	150.7685186
ENSG00000111276	1.112108176	6.263073593	8.737416326	7.071854372	6.179073976	1.88282056	8.288644869	8.253421816	2.986663876	12.30515786	6.694618843	3.018475626	1.718684917	2.307910302	4.650194596	27.05265391	14.68715026	8.184080453	1.807270653	3.801082971	5.78776419	2.66988293	12.24829051	11.97652486	17.5738974	3.606283491	11.78874976	1.617321166	9.830424659
ENSG00000111300	0.370143156	1.084544035	0.15097008	0.571737403	0.045253873	1.375004861	1.528407728	1.059100066	0.940043177	1.869880612	0.776421446	0.71502312	0.335635124	0.599960728	2.656047719	1.022771836	6.200149861	1.985091861	1.312938554	1.043624843	2.801564357	1.425776543	0.803239863	0.42155258	0.357931265	0.454652176	2.996874077	1.29898196	1.389471347
ENSG00000111321	0.193650976	0.685612119	0.735360036	0.985274066	0.573039615	0.542876223	0.033080209	0.63342192	0.34153942	1.020295937	0.033894142	0.076560007	0.274528404	0.174084262	1.215560424	0	0.451520092	0	0.521770319	2.551660864	0.357600759	0.414438839	0.536481921	0.196009787	0.179075883	0.211076235	0.281450312	0.072648256	0.339431525
ENSG00000111325	0	0.405972982	0	0.062044742	1.82868727	0.237087689	0.314822864	0.052050688	0.321075574	0.674601589	0.077414912	0.123487985	0.305019442	1.259741819	0.152680735	0.753769089	0.241251754	0.101031485	0.053208433	2.388521759	0.048924801	0.109779812	0.395646663	0.0200053	0.084757489	0.046621102	1.73973215	0.167061282	0.034821907
ENSG00000111328	0	0.936785897	1.069906432	0.870086267	0	0.927109439	1.182845245	2.650678958	0.737727792	0.999329371	1.065140083	0.288587009	0.311220481	0.627546508	2.700060713	0.409392106	2.568806848	0	0.994882212	1.556723858	0.122577438	0.785519878	0.057866556	3.382968141	0	1.515761853	3.211996227	0	1.723662969
