GeneID	adipose.tissue	adrenal.gland	appendix	urinary.bladder	bone.marrow	colon	duodenum	endometrium	esophagus	fallopian.tube	gall.bladder	heart	kidney	liver	lung	lymph.node	ovary	pancreas	placenta	prostate	rectum	salivary.gland	small.intestine	smooth.muscle	spleen	stomach	testis	thyroid	tonsil
ENSG00000121774	38	37	56	49	54	48	43	75	41	59	44	25	34	20	43	79	83	11	49	44	44	21	43	57	49	39	44	47	76
ENSG00000121775	4	4	5	5	3	3	3	5	3	7	5	2	2	1	5	7	6	1	7	4	3	3	3	5	5	4	7	4	6
ENSG00000121851	17	11	12	9	8	12	7	9	7	10	9	11	8	12	10	13	9	1	5	8	11	5	8	8	14	9	7	9	17
ENSG00000121858	23	18	33	68	6	42	54	31	22	29	36	11	53	32	98	31	13	3	53	44	51	37	49	16	35	28	2	11	27
ENSG00000121864	4	5	5	6	11	5	4	8	4	7	5	4	4	3	5	7	8	2	5	7	5	4	4	7	6	5	5	10	6
ENSG00000121871	0	0	1	0	0	0.7	0	2	3	4	0	0	0	2	0	0	0	0	0	0.8	0.9	0	0	4	0	0	0	0	0
ENSG00000121879	10	7	7	6	7	4	3	7	6	4	6	4	5	3	5	7	7	1	6	5	4	2	3	6	7	4	6	5	7
ENSG00000121892	10	10	16	13	12	15	10	14	16	11	11	5	12	10	13	19	14	4	12	12	14	7	11	11	14	12	8	15	20
ENSG00000121897	0.9	1	1	1	0.6	2	2	2	1	2	1	1	2	0.9	1	2	3	0	0.8	1	2	0.8	2	1	1	1	3	1	1
ENSG00000121898	18	5	5	21	0	4	5	6	9	8	9	6	8	0.5	5	2	4	1	1	10	3	4	4	23	14	0.5	10	3	4
ENSG00000121904	0	0	0	0	0	0	0	0	0	0	0.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000121905	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
ENSG00000121931	2	5	7	6	1	4	3	5	3	6	3	4	3	3	4	9	9	0.9	5	4	4	3	3	3	6	3	16	6	10
ENSG00000121940	5	6	6	6	2	5	5	8	4	7	7	4	3	3	5	5	7	3	6	8	6	7	5	6	5	6	4	9	5
ENSG00000121957	1	1	2	3	3	4	2	2	8	1	1	0	0.6	0	2	2	0	0	3	1	5	0	3	4	0.8	2	4	0.7	4
ENSG00000121964	3	3	2	2	2	2	1	1	2	1	2	2	2	0.5	2	3	3	0	2	1	2	0.8	1	1	3	0.9	3	2	3
ENSG00000121966	9	96	256	64	489	19	8	27	29	45	66	6	4	13	17	231	5	3	29	14	37	16	34	16	233	20	3	11	404
ENSG00000121988	0.5	0.8	0.7	0.9	1	0.8	0	1	0.6	1	0.7	0	0.7	0.6	0	0.8	2	0	0.7	1	1	0	0.5	0.6	0.7	0	3	1	1
ENSG00000121989	3	3	3	3	1	4	4	3	4	3	5	1	3	2	2	2	3	0.7	4	4	4	3	5	4	3	4	4	3	2
ENSG00000122008	5	6	6	5	3	3	3	7	4	5	6	3	5	3	5	5	6	1	5	5	4	2	4	5	5	3	8	8	3
ENSG00000122012	0	0.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000122025	0	0	4	2	6	1	0.7	0	0.9	0	2	0	0.6	0	0.6	7	0	1	0	0	0.8	0	1	0	8	0.8	1	0	3
ENSG00000122026	80	112	147	101	186	116	96	108	74	119	73	46	78	56	74	195	271	47	74	86	103	92	88	81	135	75	35	88	187
ENSG00000122033	30	26	23	24	8	23	25	19	18	23	25	34	23	15	16	27	22	9	17	22	26	34	26	18	23	21	43	22	24
ENSG00000122034	28	20	33	24	42	18	15	16	19	18	20	32	16	24	16	41	12	15	14	17	21	25	17	22	32	23	15	16	47
ENSG00000122035	12	5	6	8	3	15	14	5	8	9	7	3	13	2	7	12	7	0.5	5	9	21	4	12	8	12	3	2	2	19
ENSG00000122042	20	22	21	25	15	34	26	49	43	31	38	12	29	17	44	19	29	17	17	22	28	17	30	35	25	64	26	42	18
ENSG00000122068	14	13	15	16	11	11	9	15	21	10	15	14	11	8	11	16	12	6	15	13	10	7	9	14	12	9	26	13	17
ENSG00000122085	2	4	6	3	3	3	3	6	3	4	3	2	2	1	4	9	6	1	3	8	4	3	3	3	5	3	3	9	6
ENSG00000122121	2	0	4	6	0	4	84	0.6	1	0	3	0	137	2	0	0.7	0	0	0.9	0.6	5	0	139	0.9	0	0.9	0	0	0
ENSG00000122122	2	4	56	21	68	7	9	3	2	3	11	1	1	2	16	105	1	0	7	3	8	4	12	2	74	9	0.8	2	92
ENSG00000122126	10	24	7	14	7	13	10	18	10	13	10	4	7	4	8	3	28	4	10	19	15	6	10	15	6	9	33	18	4
ENSG00000122133	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0
ENSG00000122136	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
ENSG00000122140	7	9	6	9	7	7	9	8	8	20	6	11	8	5	6	9	13	5	10	8	7	9	8	7	8	6	6	8	9
ENSG00000122176	76	12	27	38	0	31	38	55	14	71	104	37	6	4	29	22	85	8	72	43	46	15	15	83	15	60	5	58	29
ENSG00000122188	0	0	10	9	1	3	3	0.6	1	0	3	0	0	0	3	14	0	0	0	0.5	3	1	2	0.6	7	5	0	0	19
ENSG00000122194	0	0	0	0	0	0	0	0	0	1	0	0	83	397	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000122203	21	28	18	28	13	28	26	35	33	45	28	30	99	18	31	18	54	10	20	32	28	26	28	30	21	24	9	36	23
ENSG00000122218	29	27	35	35	22	37	36	37	25	38	35	24	31	17	28	27	35	9	33	33	38	27	38	39	28	35	24	46	38
ENSG00000122224	0	0	4	1	1	0.6	0.7	0	0	0	0.7	0	0	0	0.7	6	0	0	0	0	1	0.9	0.8	0	5	1	0	0	8
ENSG00000122257	7	9	11	9	25	8	7	14	7	9	10	4	6	5	9	14	14	2	9	9	8	5	8	10	13	9	17	10	10
ENSG00000122299	10	11	14	12	16	10	9	14	7	12	12	6	10	5	14	18	15	4	12	14	11	12	10	12	14	10	6	14	14
ENSG00000122335	0.7	3	0.9	2	0	1	1	2	3	1	2	0.7	2	0.6	1	1	0.9	1	0.9	2	1	1	1	2	1	1	3	2	1
ENSG00000122359	27	7	25	34	32	31	29	18	41	36	27	36	23	5	34	21	23	7	25	28	29	12	31	19	21	31	9	14	24
ENSG00000122367	3	0.7	2	2	0	2	1	3	13	3	2	214	0.7	0	1	0	1	0	0.8	14	2	0	2	15	0	0.5	1	0.7	0
ENSG00000122378	86	9	5	18	0.7	17	25	15	16	13	10	11	27	22	6	4	11	5	12	23	13	10	19	7	4	6	18	19	9
ENSG00000122406	177	249	218	225	290	265	179	367	193	336	158	103	160	84	135	333	778	117	161	222	213	172	163	227	224	194	91	238	324
ENSG00000122417	3	3	4	3	2	2	2	5	2	5	5	1	2	0.7	5	5	3	0	2	4	4	1	3	3	7	2	3	5	2
ENSG00000122435	5	6	11	6	2	5	6	11	5	6	6	3	4	2	5	13	10	1	6	8	7	4	6	5	10	7	6	7	7
ENSG00000122477	0.5	4	1	0.5	0.7	0.6	0.6	1	0	0.6	0.8	49	0.5	0	0.8	1	0.7	0	3	0.9	0.8	0.5	0.5	0.8	1	0.7	3	0.6	0.9
ENSG00000122482	6	6	10	10	8	10	6	14	7	9	8	4	6	6	6	11	11	2	7	8	9	6	6	10	9	6	11	12	11
ENSG00000122484	1	2	2	2	1	1	1	2	1	2	2	1	2	0.6	1	2	2	0.6	1	2	2	1	1	2	2	1	1	3	2
ENSG00000122490	13	6	7	6	13	7	4	7	9	6	6	5	7	7	9	6	5	4	6	7	3	8	4	3	10	4	15	7	3
ENSG00000122507	3	5	2	4	0.9	2	1	5	2	6	5	2	3	1	3	3	5	0.6	3	3	2	1	2	3	3	2	9	6	3
ENSG00000122512	2	3	3	3	1	3	3	3	3	4	2	1	6	0.9	3	4	4	0.6	2	4	3	2	3	3	3	3	3	6	6
ENSG00000122515	8	11	20	11	10	9	16	12	10	14	11	6	9	2	18	23	12	6	10	15	9	15	14	9	30	20	19	17	11
ENSG00000122545	24	21	26	28	20	20	12	30	18	20	26	21	13	7	23	33	31	2	26	18	19	7	15	28	23	12	17	16	32
ENSG00000122547	12	3	3	3	3	3	6	3	3	3	7	2	1	2	3	2	4	1	2	4	3	1	7	3	4	6	2	0.7	2
ENSG00000122550	4	10	4	5	2	4	4	8	4	7	6	20	5	2	5	4	7	1	4	7	4	3	4	6	5	3	14	4	4
ENSG00000122557	10	8	14	15	17	10	9	16	12	16	13	5	9	7	15	16	22	5	12	11	13	6	11	15	18	12	20	12	15
ENSG00000122565	22	37	44	39	48	33	41	37	19	31	26	15	25	13	27	67	31	6	33	26	37	14	42	26	34	24	43	22	63
ENSG00000122566	75	107	142	75	109	99	90	136	53	75	79	49	72	49	83	192	105	22	97	99	104	51	100	70	126	87	99	75	143
ENSG00000122574	0	4	0.6	1	0	0	2	2	0.7	5	1	2	1	0	0	0.5	27	0	0	3	0	1	1	3	0.6	3	16	1	0.6
ENSG00000122584	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000122585	0	50	6	0	2	0.7	3	0	0	0	0	0	0	0	0	0	0	1	0	145	0	0	4	0	0	1	0	0	0
ENSG00000122591	3	3	5	4	1	2	3	4	5	2	4	2	2	1	4	7	2	0.7	5	2	2	1	3	5	5	1	5	1	5
ENSG00000122641	0.7	0.9	4	5	5	0	0.6	2	1	0.7	9	1	1	4	6	0.6	4	0	9	3	0.5	0.5	0	3	0	0	1	0.9	0
ENSG00000122642	24	16	7	18	0.8	18	8	21	12	24	18	17	13	5	24	5	17	4	28	18	17	6	10	24	11	16	6	15	6
ENSG00000122643	6	6	10	10	11	16	14	9	7	7	10	4	6	2	8	13	8	2	5	8	16	3	13	5	9	11	4	6	16
ENSG00000122644	6	2	5	4	17	10	8	6	11	9	4	2	2	2	3	3	2	0	5	5	7	14	15	6	4	3	28	3	4
ENSG00000122678	3	3	6	4	4	2	7	5	4	6	6	4	3	1	5	10	7	2	4	6	4	4	5	4	13	6	4	7	8
ENSG00000122687	7	8	11	9	6	9	6	10	7	11	8	6	8	5	11	13	11	2	10	8	8	6	7	8	11	7	10	9	13
ENSG00000122692	8	11	11	10	10	10	7	13	8	12	10	6	9	6	10	12	13	2	7	11	10	5	7	12	11	7	9	10	14
ENSG00000122694	14	9	36	19	32	19	8	20	8	18	15	6	2	2	32	17	3	1	5	23	20	3	11	32	16	10	2	7	11
ENSG00000122696	5	2	2	2	3	2	4	2	3	2	2	2	3	0.7	2	2	1	0.6	2	2	2	1	3	2	2	1	2	2	3
ENSG00000122705	26	37	33	27	20	44	35	31	23	43	25	9	36	16	33	32	42	8	48	34	39	20	34	29	30	33	29	30	36
ENSG00000122707	9	6	4	9	1	5	3	12	8	7	12	4	4	3	11	5	10	0.8	7	6	5	2	4	12	6	5	5	3	3
ENSG00000122728	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ENSG00000122729	40	22	8	11	1	11	22	9	7	6	9	11	46	29	9	5	8	5	8	12	10	5	16	12	5	14	11	12	4
ENSG00000122733	0	0	0.5	0	0	0	0	0	0	0.6	0	0	0	0	0	0.8	0	0	0	0	0	0	0	0.6	0	0	19	0	0.7
ENSG00000122735	0	0	0	0	0	0	0	0.6	0	18	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	29	0	0
ENSG00000122741	6	10	6	6	5	7	5	9	8	7	6	3	8	5	6	5	8	3	6	7	7	5	6	8	5	6	13	9	5
ENSG00000122756	37	7	0.9	0	0	3	2	1	2	3	4	3	1	2	0.9	0	1	0	5	4	1	4	4	0.5	18	2	5	0.9	0
ENSG00000122778	0	1	0	0.5	0	0.6	0.7	2	0.5	3	0.9	0	4	0	0.8	0	1	2	1	1	0.8	1	0.6	1	0	1	2	0.7	0
ENSG00000122779	3	8	4	5	4	4	5	5	4	3	3	3	4	5	5	4	16	2	6	5	5	3	5	4	4	5	15	5	4
ENSG00000122783	3	3	4	4	3	2	3	4	3	5	4	2	3	2	5	5	4	1	6	3	3	3	3	4	5	3	3	3	5
ENSG00000122786	66	55	80	132	0	53	34	181	132	38	106	39	49	53	42	31	142	6	118	174	39	16	45	250	51	23	26	44	12
ENSG00000122787	0	0	0	0	0	0	0	0	0	0	0	0	0	126	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
ENSG00000122824	0	1	1	0.6	0	0.8	0	5	0.6	3	1	0	1	0	0	0	11	0	0	12	0.5	0	0.5	3	2	0	23	0	0
ENSG00000122861	14	3	18	32	16	7	7	9	4	5	23	4	19	3	11	9	0	2	25	5	12	3	6	16	21	5	1	5	4
ENSG00000122862	90	116	1126	257	4958	85	65	67	69	51	271	32	33	110	173	305	15	17	211	41	93	19	95	107	309	95	13	42	286
ENSG00000122863	11	9	5	4	0	2	0.8	9	6	12	6	5	7	0	4	2	21	1	8	8	2	4	2	18	2	1	21	6	2
ENSG00000122870	5	5	4	6	0	3	1	5	3	7	13	4	24	1	4	2	13	4	3	3	4	2	2	4	3	1	3	1	2
ENSG00000122873	4	11	8	9	1	12	22	6	10	8	7	24	19	8	4	7	6	2	5	7	10	6	23	9	6	6	6	10	7
ENSG00000122877	7	8	9	15	4	2	2	5	4	1	23	2	4	3	10	14	8	0.7	2	6	2	0.9	2	10	3	3	3	61	5
ENSG00000122882	7	11	10	11	16	8	7	13	10	10	12	5	9	4	8	12	10	3	10	12	10	7	8	10	10	8	15	13	14
ENSG00000122884	10	20	20	22	9	14	9	23	8	31	22	14	21	54	20	12	26	3	35	17	12	4	10	23	15	16	17	10	11
